filename,category,corpus,length,truth_ref_id,source_offset_sec,expected_verdict,notes
saraga_in_library/15_hindustani_1s_hindustani_t0002_q2.wav,in_library,hindustani,1s,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,86.195,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/16_hindustani_1s_hindustani_t0000_q2.wav,in_library,hindustani,1s,hindustani_0_Raag_Shree,1522.175,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/17_hindustani_10s_hindustani_t0025_q3.wav,in_library,hindustani,10s,hindustani_25_Raag_Marwa,1281.619,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/18_hindustani_1s_hindustani_t0084_q2.wav,in_library,hindustani,1s,hindustani_81_Raag_Bihag,1253.604,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/19_hindustani_3s_hindustani_t0053_q3.wav,in_library,hindustani,3s,hindustani_51_Raag_Bairagi,1665.93,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/20_hindustani_3s_hindustani_t0058_q1.wav,in_library,hindustani,3s,hindustani_56_Raag_Malkauns,773.248,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/21_carnatic_3s_carnatic_t0053_q0.wav,in_library,carnatic,3s,carnatic_244_Govardhana_Girisham,60.883,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/22_carnatic_5s_carnatic_t0050_q4.wav,in_library,carnatic,5s,carnatic_240_Ardhanarishwaram,289.123,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/23_carnatic_3s_carnatic_t0036_q1.wav,in_library,carnatic,3s,carnatic_217_Santhamu_leka_Sowkyamu_ledu,107.376,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/24_carnatic_10s_carnatic_t0093_q3.wav,in_library,carnatic,10s,carnatic_84_Vara_Leela_Gana_Lola,63.201,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/25_carnatic_3s_carnatic_t0011_q3.wav,in_library,carnatic,3s,carnatic_136_Dudukugala,524.341,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/26_carnatic_1s_carnatic_t0090_q2.wav,in_library,carnatic,1s,carnatic_80_Lokavana_Chatura,1008.431,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/27_carnatic_3s_carnatic_t0061_q2.wav,in_library,carnatic,3s,carnatic_36_Ozhukkam_Uyirinum,149.113,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/28_carnatic_5s_carnatic_t0003_q1.wav,in_library,carnatic,5s,carnatic_116_Bhuvini_Dasudane,102.648,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/29_carnatic_5s_carnatic_t0000_q0.wav,in_library,carnatic,5s,carnatic_101_Maname_Kanamum,36.507,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/30_carnatic_3s_carnatic_t0086_q2.wav,in_library,carnatic,3s,carnatic_75_Amba_Nilambari,245.092,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/31_carnatic_10s_carnatic_t0037_q2.wav,in_library,carnatic,10s,carnatic_219_Gnanamosaga_Rada,861.581,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/32_carnatic_3s_carnatic_t0020_q0.wav,in_library,carnatic,3s,carnatic_162_Kalilo_Hari_Smrana,33.742,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/33_carnatic_10s_carnatic_t0021_q3.wav,in_library,carnatic,10s,carnatic_163_Ninnaiye_rathi,231.903,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/34_carnatic_10s_carnatic_t0090_q4.wav,in_library,carnatic,10s,carnatic_80_Lokavana_Chatura,1673.995,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/35_carnatic_5s_carnatic_t0001_q1.wav,in_library,carnatic,5s,carnatic_102_Ennadu_Jootuno,447.35,MATCH or HIGH (in library),"Saraga query cut, length=5s"
saraga_in_library/36_carnatic_10s_carnatic_t0088_q3.wav,in_library,carnatic,10s,carnatic_78_Rama_Neepai,505.594,MATCH or HIGH (in library),"Saraga query cut, length=10s"
saraga_in_library/37_carnatic_3s_carnatic_t0035_q3.wav,in_library,carnatic,3s,carnatic_216_Jaya_Jaya_Janaki_Kantha,390.379,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/38_carnatic_1s_carnatic_t0062_q2.wav,in_library,carnatic,1s,carnatic_37_Undan_Paada_Pankayam,264.371,MATCH or HIGH (in library),"Saraga query cut, length=1s"
saraga_in_library/39_carnatic_3s_carnatic_t0005_q3.wav,in_library,carnatic,3s,carnatic_119_Shlokam_-_Shivah_Shaktyayukto,52.231,MATCH or HIGH (in library),"Saraga query cut, length=3s"
saraga_in_library/40_carnatic_3s_carnatic_t0081_q3.wav,in_library,carnatic,3s,carnatic_68_Eppadi_Manam_Thunindhadho,292.518,MATCH or HIGH (in library),"Saraga query cut, length=3s"
fma_out_of_library/01_fma_01s_137947.wav,out_of_library,fma_medium,1s,(not in library),1.95675,NO MATCH (out of library),"FMA-medium random clip, track=137947"
fma_out_of_library/02_fma_01s_070417.wav,out_of_library,fma_medium,1s,(not in library),26.5735,NO MATCH (out of library),"FMA-medium random clip, track=070417"
fma_out_of_library/03_fma_01s_038904.wav,out_of_library,fma_medium,1s,(not in library),12.2245,NO MATCH (out of library),"FMA-medium random clip, track=038904"
fma_out_of_library/04_fma_01s_073541.wav,out_of_library,fma_medium,1s,(not in library),1.137125,NO MATCH (out of library),"FMA-medium random clip, track=073541"
fma_out_of_library/05_fma_03s_011663.wav,out_of_library,fma_medium,3s,(not in library),23.564625,NO MATCH (out of library),"FMA-medium random clip, track=011663"
fma_out_of_library/06_fma_03s_072605.wav,out_of_library,fma_medium,3s,(not in library),17.85775,NO MATCH (out of library),"FMA-medium random clip, track=072605"
fma_out_of_library/07_fma_03s_061493.wav,out_of_library,fma_medium,3s,(not in library),15.369625,NO MATCH (out of library),"FMA-medium random clip, track=061493"
fma_out_of_library/08_fma_03s_063291.wav,out_of_library,fma_medium,3s,(not in library),2.53425,NO MATCH (out of library),"FMA-medium random clip, track=063291"
fma_out_of_library/09_fma_05s_004682.wav,out_of_library,fma_medium,5s,(not in library),22.15475,NO MATCH (out of library),"FMA-medium random clip, track=004682"
fma_out_of_library/10_fma_05s_047832.wav,out_of_library,fma_medium,5s,(not in library),15.59725,NO MATCH (out of library),"FMA-medium random clip, track=047832"
fma_out_of_library/11_fma_05s_083553.wav,out_of_library,fma_medium,5s,(not in library),9.609875,NO MATCH (out of library),"FMA-medium random clip, track=083553"
fma_out_of_library/12_fma_05s_063410.wav,out_of_library,fma_medium,5s,(not in library),8.317375,NO MATCH (out of library),"FMA-medium random clip, track=063410"
fma_out_of_library/13_fma_05s_122732.wav,out_of_library,fma_medium,5s,(not in library),10.22225,NO MATCH (out of library),"FMA-medium random clip, track=122732"
fma_out_of_library/14_fma_10s_067829.wav,out_of_library,fma_medium,10s,(not in library),18.77725,NO MATCH (out of library),"FMA-medium random clip, track=067829"
fma_out_of_library/15_fma_10s_127020.wav,out_of_library,fma_medium,10s,(not in library),0.884125,NO MATCH (out of library),"FMA-medium random clip, track=127020"
fma_out_of_library/16_fma_10s_072005.wav,out_of_library,fma_medium,10s,(not in library),12.520875,NO MATCH (out of library),"FMA-medium random clip, track=072005"
fma_out_of_library/17_fma_10s_064566.wav,out_of_library,fma_medium,10s,(not in library),7.358125,NO MATCH (out of library),"FMA-medium random clip, track=064566"
fma_out_of_library/18_fma_10s_136274.wav,out_of_library,fma_medium,10s,(not in library),18.282875,NO MATCH (out of library),"FMA-medium random clip, track=136274"
fma_out_of_library/19_fma_15s_056468.wav,out_of_library,fma_medium,15s,(not in library),1.274875,NO MATCH (out of library),"FMA-medium random clip, track=056468"
fma_out_of_library/20_fma_15s_027150.wav,out_of_library,fma_medium,15s,(not in library),8.76575,NO MATCH (out of library),"FMA-medium random clip, track=027150"
fma_out_of_library/21_fma_15s_032758.wav,out_of_library,fma_medium,15s,(not in library),3.65675,NO MATCH (out of library),"FMA-medium random clip, track=032758"
fma_out_of_library/22_fma_20s_040851.wav,out_of_library,fma_medium,20s,(not in library),6.843125,NO MATCH (out of library),"FMA-medium random clip, track=040851"
edge_cases/01_silent_5s.wav,edge_case,synthetic,5s,(silence),0.0,"NO MATCH (silence, low embedding similarity)",All zeros at fs=8000 for 5 seconds
edge_cases/02_white_noise_5s.wav,edge_case,synthetic,5s,(noise),0.0,NO MATCH (white noise),"Gaussian noise σ=0.1, fs=8000, 5 sec"
edge_cases/03_too_short_0.5s.wav,edge_case,synthetic,0.5s,(too short),0.0,"REJECTED (clip < 1 sec, demo error)",0.5 sec of noise; below 1-sec window — demo errors out
edge_cases/04_saraga_quiet_5s.wav,edge_case,hindustani,5s,hindustani_101_Introductory_speech_by_Ajoy_Chakrabarty,35.903,MATCH (model is invariant to amplitude),Saraga hindustani_t0002_q0 attenuated to 2%; tests amplitude invariance
edge_cases/05_saraga_long_30s.wav,edge_case,hindustani,30s,hindustani_103_Thumri_in_Piloo,132.072,MATCH (long-form sequence aggregation),Saraga hindustani_t0004_q0 tiled to 30 sec; max length demo accepts
